x,eval,fitness
"[7, 5, 11, 8, 0, 6, 12, 13, 1, 2, 14, 9, 4, 10, 15, 16, 3]",3462,0.0007262111386264442
"[5, 11, 8, 0, 6, 12, 13, 1, 2, 14, 9, 4, 10, 16, 3, 15, 7]",3303,0.0008210113217461269
"[5, 11, 8, 0, 6, 12, 13, 1, 2, 14, 9, 4, 10, 16, 3, 15, 7]",3303,0.0008210113217461269
"[1, 4, 2, 0, 3, 11, 7, 16, 8, 15, 5, 6, 12, 13, 14, 9, 10]",3124,0.0009624546443248862
"[1, 9, 10, 12, 7, 16, 0, 3, 6, 2, 11, 8, 15, 5, 14, 13, 4]",3067,0.0010183195690471583
"[1, 4, 11, 7, 16, 5, 0, 3, 12, 8, 15, 6, 13, 14, 2, 10, 9]",2837,0.0013297695509368226
"[1, 4, 11, 7, 16, 5, 0, 3, 12, 8, 15, 6, 13, 14, 2, 10, 9]",2837,0.0013297695509368226
"[1, 4, 11, 7, 16, 5, 0, 3, 12, 8, 15, 6, 13, 14, 2, 10, 9]",2837,0.0013297695509368226
"[1, 4, 11, 7, 16, 5, 0, 3, 12, 8, 15, 6, 13, 14, 2, 10, 9]",2837,0.0013297695509368226
"[1, 4, 11, 7, 16, 5, 0, 3, 12, 8, 15, 6, 13, 14, 2, 10, 9]",2837,0.0013297695509368226
"[1, 4, 11, 7, 16, 5, 0, 3, 12, 8, 15, 6, 13, 14, 2, 10, 9]",2837,0.0013297695509368226
"[8, 15, 0, 12, 3, 16, 6, 7, 5, 2, 4, 14, 13, 10, 9, 1, 11]",2618,0.0018761374083037842
"[8, 15, 0, 12, 3, 16, 6, 7, 5, 2, 4, 14, 13, 10, 9, 1, 11]",2618,0.0018761374083037842
"[8, 15, 0, 3, 12, 16, 6, 7, 5, 2, 4, 14, 13, 10, 9, 1, 11]",2610,0.0019047256242738233
"[14, 10, 9, 1, 4, 16, 7, 6, 0, 3, 12, 15, 8, 11, 5, 13, 2]",2517,0.0023147612323788803
"[14, 10, 9, 1, 4, 16, 7, 6, 0, 3, 12, 15, 8, 11, 5, 13, 2]",2517,0.0023147612323788803
"[14, 10, 9, 1, 4, 16, 7, 6, 0, 3, 12, 15, 8, 11, 5, 13, 2]",2517,0.0023147612323788803
"[14, 10, 9, 1, 4, 16, 7, 6, 0, 3, 12, 15, 8, 11, 5, 13, 2]",2517,0.0023147612323788803
"[10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 14, 13, 2]",2463,0.002645432660511627
"[10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 14, 13, 2]",2463,0.002645432660511627
"[1, 9, 10, 14, 13, 11, 15, 8, 0, 3, 12, 16, 6, 7, 5, 2, 4]",2422,0.0029672710008605088
"[1, 9, 10, 14, 13, 11, 15, 8, 0, 3, 12, 16, 6, 7, 5, 2, 4]",2422,0.0029672710008605088
"[1, 9, 10, 14, 13, 11, 15, 8, 0, 3, 12, 16, 6, 7, 5, 2, 4]",2422,0.0029672710008605088
"[14, 2, 10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 13]",2385,0.0033332222259258026
"[14, 2, 10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 13]",2385,0.0033332222259258026
"[14, 2, 10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 13]",2385,0.0033332222259258026
"[14, 2, 10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 13]",2385,0.0033332222259258026
"[14, 2, 10, 9, 1, 4, 15, 11, 8, 0, 3, 12, 16, 7, 5, 6, 13]",2385,0.0033332222259258026
"[9, 1, 4, 10, 2, 13, 7, 6, 0, 3, 12, 15, 8, 11, 16, 5, 14]",2381,0.0033782642478294655
"[9, 1, 4, 10, 2, 13, 7, 6, 0, 3, 12, 15, 8, 11, 16, 5, 14]",2381,0.0033782642478294655
"[9, 1, 4, 10, 2, 13, 7, 6, 0, 3, 12, 15, 8, 11, 16, 5, 14]",2381,0.0033782642478294655
"[12, 16, 6, 7, 5, 2, 10, 9, 1, 4, 14, 13, 15, 11, 8, 0, 3]",2350,0.0037734425116033358
"[14, 13, 9, 1, 4, 10, 2, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5]",2325,0.00416649306278905
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[10, 14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 9, 1, 4]",2224,0.007193727069994965
"[14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 10, 4, 1, 9]",2172,0.011492931846914148
"[14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 10, 4, 1, 9]",2172,0.011492931846914148
"[14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 10, 4, 1, 9]",2172,0.011492931846914148
"[14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 10, 4, 1, 9]",2172,0.011492931846914148
"[14, 13, 7, 6, 0, 3, 15, 11, 8, 12, 16, 5, 2, 10, 4, 1, 9]",2172,0.011492931846914148
"[10, 9, 1, 4, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2]",2155,0.0142836737608913
"[10, 9, 1, 4, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2]",2155,0.0142836737608913
"[10, 9, 1, 4, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2]",2155,0.0142836737608913
"[10, 9, 1, 4, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2]",2155,0.0142836737608913
"[10, 9, 1, 4, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12, 16, 5, 2]",2155,0.0142836737608913
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
"[16, 5, 2, 10, 4, 1, 9, 14, 13, 7, 6, 0, 15, 11, 8, 3, 12]",2103,0.05552470849528039
